Occupation Title,Typical Entry-Level Education,Occupation Code,Employment 2020,Employment 2030,"Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average",Median Annual Wage 2020,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Recreational vehicle service technicians    * Master Certified RV Technician* Mobile Service Recreational Vehicle Technician* RV Mechanic* RV Servicer* RVDA Master Certified RV Technician* Recreational Vehicle (RV) Repairer* Recreational Vehicle Mechanic,High school diploma or equivalent,49-3092,15.4,18.1,2.7,17.2,2.2,"40,520",7,None,4,Long-term on-the-job training,3
Tire repairers and changers    * Auto Tire Worker* Tire Balancer* Tire Fixer* Tire Mechanic* Tire Mounter* Tire Servicer* Tire Technician,High school diploma or equivalent,49-3093,102.7,104.6,1.9,1.8,12,"30,060",7,None,4,Short-term on-the-job training,5
Mechanical door repairers    * Automatic Door Mechanic* Door Closer Mechanic* Garage Door Technician* Mechanical Door Repairer* Overhead Door Technician,High school diploma or equivalent,49-9011,22.8,25.5,2.8,12.2,2.2,"43,220",7,None,4,Moderate-term on-the-job training,4
"Control and valve installers and repairers, except mechanical door    * Air Valve Mechanic* Electric Meter Installer* Gas Meter Installer* Gas Meter Mechanic* Thermostat Repairer* Valve Mechanic* Water Meter Installer",High school diploma or equivalent,49-9012,50.8,51.9,1.1,2.3,4.2,"60,580",7,None,4,Moderate-term on-the-job training,4
"Heating, air conditioning, and refrigeration mechanics and installers    * Air Conditioning Service Technician* Bulk Cooler Installer* Evaporative Cooler Installer* Furnace Converter* Furnace Fitter* Gas Furnace Installer* Heating, Ventilation, and Air Conditioning (HVAC) Mechanic* Oil Burner Repairer* Oil Furnace Installer* Refrigeration Systems Installer* Stoker Installer",Postsecondary nondegree award,49-9021,380.4,399.4,19,5,38.5,"50,590",5,None,4,Long-term on-the-job training,3
Home appliance repairers    * Certified Appliance Service Technician* Electric Stove Installer* Gas Appliance Repairer* Gas Appliance Servicer* Home Appliance Installer* Stove Installer* Vacuum Cleaner Repair Person* Vacuum Cleaner Repairer* Washing Machine Installer* Washing Machine Repairer* Window Air Conditioner Installer,High school diploma or equivalent,49-9031,31.6,30.4,-1.1,-3.6,2.9,"41,610",7,None,4,Moderate-term on-the-job training,4
Industrial machinery mechanics    * Bag Machine Adjuster* Boilerhouse Mechanic* Foundry Equipment Mechanic* Hydroelectric Machinery Mechanic* Industrial Conveyor Belt Repairer* Loom Fixer* Loom Technician,High school diploma or equivalent,49-9041,391.8,475.3,83.6,21.3,45.1,"55,490",7,None,4,Long-term on-the-job training,3
"Maintenance workers, machinery    * Crane Oiler",High school diploma or equivalent,49-9043,65.6,72.6,7,10.7,6.8,"50,100",7,None,4,Long-term on-the-job training,3
Millwrights    * Construction Millwright* Machine Erector* Machinery Dismantler* Maintenance Millwright* Manufacturing Millwright,High school diploma or equivalent,49-9044,44.2,48.7,4.6,10.3,4.4,"57,260",7,None,4,Apprenticeship,2
"Refractory materials repairers, except brickmasons    * Bondactor Machine Operator* Cupola Repairer* Kiln Door Builder* Ladle Repairer* Refractory Repairer",High school diploma or equivalent,49-9045,0.8,0.6,-0.1,-14.5,0,"54,610",7,None,4,Moderate-term on-the-job training,4
Electrical power-line installers and repairers    * Electric Powerline Examiner* Electric Utility Lineworker* Electrical High Tension Tester* Electrical Lineworker* Power Lineworker* Underground Conduit Installer,High school diploma or equivalent,49-9051,115.9,117.4,1.5,1.3,10.2,"75,030",7,None,4,Long-term on-the-job training,3
Telecommunications line installers and repairers    * Cable Television Installer* FIOS Line Installer* Fiber Optic Technician* Telecommunication Lines Repairer* Telecommunications Line Installer* Telephone Cable Splicer* Telephone Lines Repairer* Telephone Lineworker,High school diploma or equivalent,49-9052,124.4,123.6,-0.8,-0.7,13.1,"58,870",7,None,4,Long-term on-the-job training,3
Camera and photographic equipment repairers    * Aircraft Photographic Equipment Repairer* Camera Machinist* Camera Repair Technician* Camera Repairer* Photographic Equipment Technician,High school diploma or equivalent,49-9061,3.7,4,0.3,8,0.4,"40,330",7,None,4,Long-term on-the-job training,3
Medical equipment repairers    * BMET* Biomedical Electronics Technician* Biomedical Equipment Technician* Certified Biomedical Equipment Technician* Dental Equipment Mechanic* Dental Equipment Repairer* Durable Medical Equipment Repairer* Electromedical Equipment Technician* Radiology Equipment Servicer* Surgical Instrument Mechanic,Associate's degree,49-9062,54.9,58.8,3.9,7.2,6.3,"51,610",4,None,4,Moderate-term on-the-job training,4
Musical instrument repairers and tuners    * Accordion Repairer* Band Instrument Repair Technician* Banjo Repairer* Bow Rehairer* Brass and Wind Instrument Repairer* Chip Tuner* Fretted String Instrument Repairer* Guitar Builder* Guitar Repairer* Keyboard Instrument Repairer* Luthier* Mandolin Repairer* Organ Installer* Organ Tuner* Percussion Instrument Repairer* Piano Regulator* Piano Technician* Piano Tuner* Pipe Organ Technician* Stringed Instrument Repairer* Tone Regulator* Violin Repairer,High school diploma or equivalent,49-9063,7.8,7.5,-0.3,-3.9,0.8,"36,810",7,None,4,Apprenticeship,2
Watch and clock repairers    * Antique Clock Repairer* Chronometer Repairer* Clock Repair Technician* Clockmaker* Clocksmith* Horologist* Time Piece Repairer* Watchmaker,High school diploma or equivalent,49-9064,2.8,2.1,-0.7,-24.9,0.2,"45,290",7,None,4,Long-term on-the-job training,3
"Precision instrument and equipment repairers, all other    * Gyroscope Repairer* Hydrometer Calibrator* Scale Adjuster* Telescope Repairer",High school diploma or equivalent,49-9069,11.4,12,0.6,5.6,1.3,"61,420",7,None,4,Long-term on-the-job training,3
"Maintenance and repair workers, general    * Building Maintenance Mechanic* Building Mechanic* Building Services Mechanic* Maintenance Mechanic* Mechanics Handyman* Plant Maintenance Technician",High school diploma or equivalent,49-9071,"1,444.10","1,561.10",117,8.1,152.3,"40,850",7,None,4,Moderate-term on-the-job training,4
Wind turbine service technicians    * Wind Energy Mechanic* Wind Energy Technician* Wind Turbine Mechanic* Wind Turbine Technician,Postsecondary nondegree award,49-9081,6.9,11.7,4.7,68.2,1.4,"56,230",5,None,4,Long-term on-the-job training,3
"Coin, vending, and amusement machine servicers and repairers    * Arcade Games Mechanic* Coin Box Collector* Juke Box Mechanic* Parking Meter Collector* Slot Machine Mechanic* Slot Technician* Stamp Machine Servicer* Vending Machine Filler",High school diploma or equivalent,49-9091,27.2,29.7,2.4,9,3.6,"37,580",7,None,4,Short-term on-the-job training,5
Commercial divers    * Commercial Diver* Marine Diver* Non Destructive Testing Underwater Welder* Salvage Diver* Scuba Diver* Submarine Diver* Underwater Welder,Postsecondary nondegree award,49-9092,4,4.7,0.7,16.8,0.5,"54,800",5,None,4,Moderate-term on-the-job training,4
Locksmiths and safe repairers    * Key Maker* Keysmith* Lock Expert* Lock Fitter* Lock Setter* Lock Technician* Locksmith* Safe and Vault Installer* Safe and Vault Mechanic,High school diploma or equivalent,49-9094,19.2,18.8,-0.5,-2.3,1.8,"43,690",7,None,4,Long-term on-the-job training,3
Manufactured building and mobile home installers    * Housetrailer Servicer* Mobile Home Mechanic* Mobile Home Servicer* Mobile Home Technician* Modular Home Crew Member,High school diploma or equivalent,49-9095,3.4,2.8,-0.6,-18.4,0.3,"35,120",7,None,4,Short-term on-the-job training,5
Riggers    * Acrobatic Rigger* Boat Rigger* Crane Rigger* Fly Rail Operator* Gantry Rigger* High Rigger* Marine Rigger* Parachute Rigger* Ship Rigger* Theatrical Rigger* Wire Rigger* Yacht Rigger* Yard Rigger,High school diploma or equivalent,49-9096,21.3,23.9,2.6,12.1,2.5,"50,850",7,None,4,Moderate-term on-the-job training,4
Signal and track switch repairers    * Electric Track Switch Maintainer* Light Rail Signal Technician* Rail Signal Mechanic* Railway Signal Technician* Third Rail Installer* Train Control Electronic Technician* Train Control Technician,High school diploma or equivalent,49-9097,6.6,7,0.4,5.6,0.7,"76,210",7,None,4,Moderate-term on-the-job training,4
"Helpers--installation, maintenance, and repair workers    * Automobile Body Repairer Helper* Cable Splicer Helper* Hydroelectric Machinery Mechanic Helper* Locksmith Helper* Mechanic's Assistant* Meter Repairer Helper* Motorboat Mechanic Helper* Powerhouse Mechanic Helper* Streetcar Repairer Helper",High school diploma or equivalent,49-9098,92.9,99.8,6.9,7.4,12.9,"31,760",7,None,4,Short-term on-the-job training,5
"Installation, maintenance, and repair workers, all other    * Bowling Alley Mechanic* Fire Extinguisher Installer* Gasoline Pump Installer* Gunsmith* Ski Lift Mechanic* Wheelwright* Windmill Mechanic* Window Shade Installer",High school diploma or equivalent,49-9099,173.2,183.4,10.2,5.9,19.2,"42,480",7,None,4,Moderate-term on-the-job training,4
First-line supervisors of production and operating workers    * Assembly Line Supervisor* Assembly Supervisor* Die Cast Supervisor* Machine Assembler Supervisor* Machinist Supervisor* Molding Supervisor* Paper Machine Supervisor* Printing Supervisor* Printing Worker Supervisor* Tool Room Supervisor,High school diploma or equivalent,51-1011,616.8,639.6,22.7,3.7,63.4,"62,850",7,Less than 5 years,2,None,6
"Aircraft structure, surfaces, rigging, and systems assemblers    * Aircraft De-Icer Installer* Aircraft Fuselage Framer* Aircraft Layout Worker* Aircraft Line Assembler* Aircraft Part Assembler* Aircraft Riveter* Aircraft Sheet Metal Mechanic* Helicopter Airframe Mechanic* Propeller Layout Worker* Wing Coverer",High school diploma or equivalent,51-2011,37.8,31.7,-6,-15.9,3.2,"53,160",7,None,4,Moderate-term on-the-job training,4
"Coil winders, tapers, and finishers    * Coil Builder* Coil Former* Coil Winder* Motor Rewinder* Motor Winder* Multiple Coil Winder* Rotor Coil Taper* Wire Coiler* Wire Winder* Wire Winding Machine Tender",High school diploma or equivalent,51-2021,12.4,10.9,-1.5,-12.4,1.1,"37,970",7,None,4,Moderate-term on-the-job training,4
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",High school diploma or equivalent,51-2028,284.8,304.4,19.5,6.9,32.7,"36,390",7,None,4,Moderate-term on-the-job training,4
Engine and other machine assemblers    * Aircraft Engine Assembler* Assembling Motor Builder* Clutch Housing Assembler* Engine Builder* Gas Turbine Assembler* Generator Assembler* Jet Engine Assembler* Machine Builder* Sewing Machine Assembler* Steam Turbine Assembler* Truck Transmission Assembler* Truck Transmission Builder,High school diploma or equivalent,51-2031,43.7,38.5,-5.1,-11.8,4,"45,770",7,None,4,Moderate-term on-the-job training,4
Structural metal fabricators and fitters    * Mill Beam Fitter* Protector Plate Attacher,High school diploma or equivalent,51-2041,70,62,-8,-11.4,5.9,"41,780",7,None,4,Moderate-term on-the-job training,4
Fiberglass laminators and fabricators,High school diploma or equivalent,51-2051,19.2,19.1,-0.1,-0.4,2.1,"36,950",7,None,4,Moderate-term on-the-job training,4
Timing device assemblers and adjusters,High school diploma or equivalent,51-2061,1,0.8,-0.2,-17.8,0.1,"36,170",7,None,4,Moderate-term on-the-job training,4
Miscellaneous assemblers and fabricators,High school diploma or equivalent,51-2090,"1,262.80","1,178.20",-84.6,-6.7,125.2,"33,550",7,None,4,Moderate-term on-the-job training,4
Bakers    * Bagel Maker* Bread Baker* Dough Maker* Pastry Baker* Pastry Finisher* Pie Baker* Pie Maker,No formal educational credential,51-3011,193.4,211.7,18.4,9.5,28.3,"29,400",8,None,4,Long-term on-the-job training,3
Butchers and meat cutters    * Butcher* Butcher Apprentice* Halal Butcher* Kosher Butcher* Meat Carver* Meat Clerk* Meat Counter Worker,No formal educational credential,51-3021,145,137.2,-7.8,-5.4,15.4,"32,900",8,None,4,Long-term on-the-job training,3
"Meat, poultry, and fish cutters and trimmers    * Crab Picker* Deboner* Fish Cutter* Fish Filleter* Frozen Meat Cutter* Meat Trimmer* Oyster Shucker* Poultry Cutter* Poultry Eviscerator* Shrimp Peeler* Shrimp Picker* Wing Scorer",No formal educational credential,51-3022,153,158,5,3.3,18.4,"30,190",8,None,4,Short-term on-the-job training,5
Slaughterers and meat packers    * Beef Splitter* Cattle Killer* Halal Meat Packer* Hog Slaughterer* Meat Packer* Meat Processor* Poultry Slaughterer* Shochet* Slaughterer,No formal educational credential,51-3023,79.7,83.1,3.4,4.3,9.7,"30,710",8,None,4,Short-term on-the-job training,5
"Food and tobacco roasting, baking, and drying machine operators and tenders    * Bean Roaster* Coffee Roaster* Fish Smoker* Food Dehydrator Operator* Grain Roaster* Malt House Kiln Operator* Meat Curer* Meat Smoker* Sausage Smoker* Smokehouse Worker* Tobacco Drier Operator",No formal educational credential,51-3091,19,19.9,0.8,4.4,2.3,"32,480",8,None,4,Moderate-term on-the-job training,4
Food batchmakers    * Almond Paste Mixer* Candy Maker* Candy Puller* Cheese Processor* Cottage Cheese Maker* Dough Scaler and Mixer* Frozen Yogurt Maker* Honey Blender* Ice Cream Maker* Liquid Sugar Fortifier* Peanut Butter Maker* Pickle Maker* Relish Maker* Taffy Puller,High school diploma or equivalent,51-3092,159.3,168.3,8.9,5.6,20.7,"32,710",7,None,4,Moderate-term on-the-job training,4
Food cooking machine operators and tenders    * Doughnut Machine Operator* Dumpling Machine Operator* Fish Fryer* Food Cooking Machine Operator* Kettle Fry Cook Operator* Pierogi Maker* Potato Chip Frier* Tripe Cooker,High school diploma or equivalent,51-3093,26.8,28.2,1.4,5.1,4.8,"33,010",7,None,4,Moderate-term on-the-job training,4
"Food processing workers, all other    * Olive Pitter* Pasta Press Operator* Poultry Hanger* Yeast Maker",No formal educational credential,51-3099,45,46.7,1.7,3.8,4.8,"29,620",8,None,4,Moderate-term on-the-job training,4
"Extruding and drawing machine setters, operators, and tenders, metal and plastic    * Wire Drawing Machine Tender* Wire Mill Rover",High school diploma or equivalent,51-4021,70.5,65.2,-5.3,-7.5,6,"37,530",7,None,4,Moderate-term on-the-job training,4
"Forging machine setters, operators, and tenders, metal and plastic    * Cold Header Operator* Forging Roll Operator* Header Setup Operator* Spike Machine Operator* Swager Operator* Swaging Machine Operator",High school diploma or equivalent,51-4022,13.7,11.9,-1.8,-13.2,1.1,"41,430",7,None,4,Moderate-term on-the-job training,4
"Rolling machine setters, operators, and tenders, metal and plastic    * Brass Roller* Forming Roll Operator* Metal Sheet Roller Operator* Pipe Straightener* Plastic Straightening Roll Operator* Steel Roller",High school diploma or equivalent,51-4023,34.5,32.4,-2.1,-6.1,3,"43,600",7,None,4,Moderate-term on-the-job training,4
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic    * Crimping Machine Operator for Metal* Four Slide Machine Setter* Metal Punch Press Operator* Metal Slitter* Metal Stamper",High school diploma or equivalent,51-4031,182,177.5,-4.5,-2.4,17.6,"36,980",7,None,4,Moderate-term on-the-job training,4
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic    * Bore Mill Operator for Plastic* Boring Mill Operator for Metal* Drill Press Operator for Metal* Horizontal Boring Mill Operator for Metal* Radial Drill Operator for Plastic* Radial Drill Press Operator for Plastic* Reaming Machine Operator for Plastic",High school diploma or equivalent,51-4032,9.1,7.7,-1.4,-15.5,0.7,"39,780",7,None,4,Moderate-term on-the-job training,4
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic    * Aluminum Polisher* Deburring Machine Operator* Jewel Bearing Facer* Metal Grinder* Tool Polishing Machine Operator",High school diploma or equivalent,51-4033,69.4,67.1,-2.3,-3.3,7.5,"36,880",7,None,4,Moderate-term on-the-job training,4
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic    * Engine Lathe Operator* Gear Cutter* Screw Machine Operator* Screw Machine Tool Setter",High school diploma or equivalent,51-4034,23.7,22.7,-1,-4.4,2.2,"41,380",7,None,4,Moderate-term on-the-job training,4
"Milling and planing machine setters, operators, and tenders, metal and plastic    * Metal Milling Machine Operator* Metal Rotary Head Milling Machine Setup Operator* Plastic Thread Milling Machine Setup Operator",High school diploma or equivalent,51-4035,15.7,13.3,-2.4,-15.1,1.2,"43,150",7,None,4,Moderate-term on-the-job training,4
Machinists    * Automotive Machinist* CNC Machinist* Gear Machinist* Manual Lathe Machinist* Precision Machinist* Production Machinist* Tool Room Machinist,High school diploma or equivalent,51-4041,363,391.8,28.8,7.9,41.2,"45,840",7,None,4,Long-term on-the-job training,3
Metal-refining furnace operators and tenders    * Electric Arc Furnace Operator* Melt Room Operator* Smelter Operator,High school diploma or equivalent,51-4051,15.1,15.5,0.4,2.6,1.4,"44,610",7,None,4,Moderate-term on-the-job training,4
"Pourers and casters, metal    * Aluminum Pourer* Ingot Caster* Iron Pourer* Molten Iron Pourer* Steel Pourer* Tin Pourer* White Metal Caster",High school diploma or equivalent,51-4052,7.1,6.7,-0.4,-5.1,0.6,"40,170",7,None,4,Moderate-term on-the-job training,4
"Model makers, metal and plastic    * Metal Mockup Maker* Plastic Jig and Fixture Builder",High school diploma or equivalent,51-4061,3.4,3.3,-0.2,-4.9,0.3,"54,780",7,None,4,Moderate-term on-the-job training,4
"Patternmakers, metal and plastic    * Metal Patternmaker",High school diploma or equivalent,51-4062,2.4,2.3,-0.1,-3.2,0.2,"48,160",7,None,4,Moderate-term on-the-job training,4
Foundry mold and coremakers    * Airset Caster* Airset Molder* Core Stripper* Foundry Molder* Green Sand Molder* No Bake Molder* Sand Molder* Wax Pattern Coater,High school diploma or equivalent,51-4071,15.8,15.3,-0.5,-3.3,1.5,"37,140",7,None,4,Moderate-term on-the-job training,4
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic    * Aluminum Molding Machine Operator* Blow Mold Operator* Compression Molding Machine Operator* Plastic Cup Fabricating Machine Operator",High school diploma or equivalent,51-4072,157.7,148.2,-9.6,-6.1,14.4,"33,100",7,None,4,Moderate-term on-the-job training,4
"Multiple machine tool setters, operators, and tenders, metal and plastic    * Combination Machine Tool Operator* Multi-operation Forming Machine Setter",High school diploma or equivalent,51-4081,138.4,150.2,11.8,8.6,15.6,"37,510",7,None,4,Moderate-term on-the-job training,4
Tool and die makers    * Jig Bore Tool Maker* Metal Die Finisher* Metal Gauge Maker* Plastic Die Maker Apprentice* Tool Maker* Toolmaker,Postsecondary nondegree award,51-4111,62.3,63.3,0.9,1.5,6.4,"54,760",5,None,4,Long-term on-the-job training,3
"Welders, cutters, solderers, and brazers    * Aluminum Welder* Arc Welder* Brazer* Certified Maintenance Welder* Cutting Torch Operator* Pipe Welder* Silver Solderer* Sub Arc Operator* Welder Fitter* Wire Welder",High school diploma or equivalent,51-4121,418.2,452.4,34.1,8.2,49.2,"44,190",7,None,4,Moderate-term on-the-job training,4
"Welding, soldering, and brazing machine setters, operators, and tenders    * Brazing Machine Operator* Brazing Machine Setter and Setup Operator* Brazing Machine Tender* Electron Beam Welder Setter* Machine Welder* Reserve Tube Welder* Soldering Machine Operator* Soldering Machine Setter and Setup Operator* Soldering Machine Tender* Ultrasonic Welding Machine Operator* Welding Machine Operator",High school diploma or equivalent,51-4122,35.1,34.7,-0.3,-1,3.6,"39,410",7,None,4,Moderate-term on-the-job training,4
"Heat treating equipment setters, operators, and tenders, metal and plastic    * Annealing Furnace Operator* Carburizing Furnace Operator* Flame Hardening Machine Setter* Heat Treater Apprentice* Heat Treating Furnace Tender* Induction Machine Setter* Wire Annealer* Wire Temperer",High school diploma or equivalent,51-4191,16.9,16.2,-0.7,-4,1.6,"39,530",7,None,4,Moderate-term on-the-job training,4
"Layout workers, metal and plastic    * Shipfitter* Shipfitter Apprentice",High school diploma or equivalent,51-4192,7.9,7.3,-0.5,-6.6,0.7,"52,300",7,None,4,Moderate-term on-the-job training,4
"Plating machine setters, operators, and tenders, metal and plastic    * Anodizer* Chrome Plater* Chromium Plater* Copper Plater* Electro Plater* Electrogalvanizing Machine Operator* Electroplater* Galvanizer* Hard Chrome Plater* Metal Plater* Metal Spraying Machine Operator* Metalizing Machine Operator* Nickel Plater* Plating Machine Operator* Tin Plater",High school diploma or equivalent,51-4193,39.3,38.2,-1.1,-2.7,3.8,"34,850",7,None,4,Moderate-term on-the-job training,4
"Tool grinders, filers, and sharpeners    * Tool Grinder* Tool Grinding Machine Operator* Tool Sharpener* Tool Straightener",High school diploma or equivalent,51-4194,6.2,6.1,-0.1,-2.4,0.6,"41,060",7,None,4,Moderate-term on-the-job training,4
"Metal workers and plastic workers, all other    * Electrical Discharge Machine Setup Operator* Metal Rivet Machine Operator* Tin Recovery Worker",High school diploma or equivalent,51-4199,21.4,21,-0.4,-2,2.1,"35,520",7,None,4,Moderate-term on-the-job training,4
Prepress technicians and workers    * Digital Proofing and Platemaker* Electronic Pre-Press Technician* Photoengraver* Plate Mounter* Pre-Press Proofer* Prepress Stripper* Type Setter,Postsecondary nondegree award,51-5111,28.2,23.3,-4.8,-17.1,3,"41,410",5,None,4,None,6
Printing press operators    * Digital Press Operator* Flexographic Press Operator* Gravure Press Operator* Lithograph Press Operator* Lithographing Machine Operator* Offset Lithographic Press Setter and Set-Up Operator* Offset Press Operator* Printing Machine Operator* Screen Printing Machine Operator* Screen Printing Press Operator* Silk Screen Operator* Silk Screen Printer* Web Offset Press Feeder* Web Press Operator,High school diploma or equivalent,51-5112,160.9,144.9,-15.9,-9.9,14.7,"37,880",7,None,4,Moderate-term on-the-job training,4
Print binding and finishing workers    * Bindery Cutter Operator* Bindery Folder Operator* Bindery Machine Operator* Bindery Worker* Book Repairer* Bookbinder* Bookbinding Machine Operator* Case Binder Operator* Foil Stamp Operator* Perfect Binder Operator* Saddle Stitch Operator* Saddle Stitcher Operator* Spiral Binder Operator,High school diploma or equivalent,51-5113,41.6,34.4,-7.3,-17.5,3.5,"34,260",7,None,4,Moderate-term on-the-job training,4
Laundry and dry-cleaning workers    * Drycleaner* Launderer* Laundress* Laundry Attendant* Laundry Equipment Operator* Laundry Operator* Laundry Sorter* Laundry Worker* Precision Dyer,No formal educational credential,51-6011,175.5,196.1,20.6,11.8,26.6,"25,470",8,None,4,Short-term on-the-job training,5
"Pressers, textile, garment, and related materials    * Clothes Ironer* Clothes Presser* Clothing Presser* Garment Presser* Pants Presser* Shirt Presser* Silk Presser* Wool Presser",No formal educational credential,51-6021,30.3,27,-3.3,-10.8,2.6,"25,580",8,None,4,Short-term on-the-job training,5
Sewing machine operators    * Blind Stitch Machine Operator* Button Sewing Machine Operator* Carpet Sewing Machine Operator* Custom T-Shirt Embroidery Machine Operator* Embroidery Machine Operator* Hemming and Tacking Machine Operator* Ultrasonic Seaming Machine Operator,No formal educational credential,51-6031,133.5,114.8,-18.6,-14,12.2,"28,230",8,None,4,Short-term on-the-job training,5
Shoe and leather workers and repairers    * Cobbler* Leather Lacer* Leather Worker* Luggage Repairer* Saddle Maker* Saddle and Harness Maker* Shoe Maker* Shoemaker,High school diploma or equivalent,51-6041,8.7,7.5,-1.2,-14,0.8,"30,550",7,None,4,Moderate-term on-the-job training,4
Shoe machine operators and tenders    * Arch Cushion Press Operator* Insole Beveler* Lacing Operator* Lasting Machine Operator* Pump Stitcher* Rasper Machine Operator* Shoe Cementer* Shoe Sewing Machine Operator and Tender* Sole Trimmer,High school diploma or equivalent,51-6042,5,3.9,-1.1,-21.6,0.4,"30,630",7,None,4,Short-term on-the-job training,5
"Sewers, hand    * Hand Quilter* Hand Sewer* Hand Stitcher* Hand Weaver",No formal educational credential,51-6051,6.9,6.2,-0.7,-9.5,0.8,"30,000",8,None,4,Moderate-term on-the-job training,4
"Tailors, dressmakers, and custom sewers    * Alterations Sewer* Alterations Tailor* Bridal Gown Fitter* Coat Cutter* Coat Maker* Couture Dressmaker* Dress Fitter* Fur Tailor* Garment Fitter* Suit Maker* Vest Maker",No formal educational credential,51-6052,42,38.9,-3.1,-7.4,4.9,"32,640",8,None,4,Moderate-term on-the-job training,4
Textile bleaching and dyeing machine operators and tenders    * Cloth Dyer* Dye Range Operator* Rug Dyer* Skein Yarn Dyer* Yarn Dyer,High school diploma or equivalent,51-6061,7.5,6.5,-1,-13.8,0.7,"30,260",7,None,4,Short-term on-the-job training,5
"Textile cutting machine setters, operators, and tenders    * Bedspread Cutter* Canvas Cutter* Cloth Cutter* Industrial Fabric Cutter* Textile Slitting Machine Operator* Twill Cutter* Upholstery Cutter* Welt Trimming Machine Operator",High school diploma or equivalent,51-6062,12.9,11.5,-1.4,-11.1,1.3,"29,910",7,None,4,Moderate-term on-the-job training,4
"Textile knitting and weaving machine setters, operators, and tenders    * Crochet Machine Operator* Jacquard Loom Weaver* Knitter Operator* Knitting Machine Operator* Loom Operator* Looping Machine Operator* Warp Knitting Machine Operator",High school diploma or equivalent,51-6063,19.6,16.7,-2.9,-14.8,1.9,"31,090",7,None,4,Short-term on-the-job training,5
"Textile winding, twisting, and drawing out machine setters, operators, and tenders    * Rope Machine Setter* Roving Winder* Silk Winding Machine Operator* Twister Operator* Winder Operator",High school diploma or equivalent,51-6064,26.4,23.4,-3,-11.5,2.6,"30,890",7,None,4,Moderate-term on-the-job training,4
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers    * Drawbench Operator* Fiber Machine Tender* Synthetic Filament Extruder",High school diploma or equivalent,51-6091,16.2,15.5,-0.7,-4.3,1.8,"37,160",7,None,4,Moderate-term on-the-job training,4
Fabric and apparel patternmakers    * Clothing Patternmaker* Embroidery Patternmaker* Fabric Pattern Grader,High school diploma or equivalent,51-6092,4.7,4.2,-0.5,-9.7,0.5,"49,680",7,None,4,Moderate-term on-the-job training,4
Upholsterers    * Aircraft Seat Upholsterer* Auto Upholsterer* Chair Upholsterer* Dining Chair Seat Cushion Trimmer* Furniture Upholsterer* Seating Upholsterer,High school diploma or equivalent,51-6093,32.1,33.5,1.4,4.5,3,"36,250",7,None,4,Moderate-term on-the-job training,4
"Textile, apparel, and furnishings workers, all other    * Apparel Embroidery Digitizer* Feltmaker* Hat Blocking Machine Operator* Swatch Maker* Tassel Making Machine Operator",High school diploma or equivalent,51-6099,16.7,15.6,-1.1,-6.4,1.8,"28,650",7,None,4,Short-term on-the-job training,5
Cabinetmakers and bench carpenters    * Cabinet Builder* Cabinetmaker* Marquetry Worker* Wood Furniture Assembler* Wood Working Assembler,High school diploma or equivalent,51-7011,103.9,113.1,9.1,8.8,11,"36,710",7,None,4,Moderate-term on-the-job training,4
Furniture finishers    * Cabinet Finisher* Furniture Refinisher* Furniture Sander* Piano Refinisher* Wood Cabinet Finisher,High school diploma or equivalent,51-7021,18.1,19.1,1,5.8,2.6,"32,970",7,None,4,Short-term on-the-job training,5
"Model makers, wood    * Architectural Wood Model Maker",High school diploma or equivalent,51-7031,1,1.3,0.4,38.6,0.1,"64,050",7,None,4,Moderate-term on-the-job training,4
"Patternmakers, wood    * Wood Die Maker",High school diploma or equivalent,51-7032,0.2,0.3,0.1,24.7,0,"65,120",7,None,4,Moderate-term on-the-job training,4
"Sawing machine setters, operators, and tenders, wood    * Backup Sawyer* Band Scroll Saw Operator* Bandmill Operator* Buzzsaw Operator* Chop Saw Operator* Circle Saw Operator* Curve Saw Operator* Cut Off Saw Operator* Hardwood Sawyer* Headrig Sawyer* Panel Saw Operator* Rip Saw Operator* Stave Saw Operator* Trim Saw Operator",High school diploma or equivalent,51-7041,50.5,53.9,3.4,6.7,6.2,"31,560",7,None,4,Moderate-term on-the-job training,4
"Woodworking machine setters, operators, and tenders, except sawing    * CNC Wood Lathe Operator* Roof Truss Builder* Speed Belt Sander* Tenon Operator* Wood Boring Machine Operator* Wood Dowel Machine Operator* Wood Lathe Operator* Wood Planer",High school diploma or equivalent,51-7042,74.6,81.9,7.3,9.8,8.7,"32,160",7,None,4,Moderate-term on-the-job training,4
"Woodworkers, all other    * Pole Framer* Timber Framer* Wood Carver* Wood Casket Assembler* Wood Veneer Taper",High school diploma or equivalent,51-7099,9.5,11.6,2.1,22.2,1.2,"33,630",7,None,4,Moderate-term on-the-job training,4
